id,name_current,name_old,code,area_km2,population,effective_date,is_merged,merged_from
1,An Giang,,89,,,,False,
2,Bà Rịa - Vũng Tàu,,77,,,,False,
3,Bắc Giang,,24,,,,False,
4,Bắc Kạn,,06,,,,False,
5,Bạc Liêu,,95,,,,False,
6,Bắc Ninh,,27,,,,False,
7,Bến Tre,,83,,,,False,
8,Bình Định,,52,,,,False,
9,Bình Dương,,74,,,,False,
10,Bình Phước,,70,,,,False,
11,Bình Thuận,,60,,,,False,
12,Cà Mau,,96,,,,False,
13,Cần Thơ,,92,,,,False,
14,Cao Bằng,,04,,,,False,
15,Đà Nẵng,,48,,,,False,
16,Đắk Lắk,,66,,,,False,
17,Đắk Nông,,67,,,,False,
18,Điện Biên,,11,,,,False,
19,Đồng Nai,,75,,,,False,
20,Đồng Tháp,,87,,,,False,
21,Gia Lai,,64,,,,False,
22,Hà Giang,,02,,,,False,
23,Hà Nam,,35,,,,False,
24,Hà Nội,,01,,,,False,
25,Hà Tĩnh,,42,,,,False,
26,Hải Dương,,30,,,,False,
27,Hải Phòng,,31,,,,False,
28,Hậu Giang,,93,,,,False,
29,Hòa Bình,,17,,,,False,
30,Hưng Yên,,33,,,,False,
31,Khánh Hòa,,56,,,,False,
32,Kiên Giang,,91,,,,False,
33,Kon Tum,,62,,,,False,
34,Lai Châu,,12,,,,False,
35,Lâm Đồng,,68,,,,False,
36,Lạng Sơn,,20,,,,False,
37,Lào Cai,,10,,,,False,
38,Long An,,80,,,,False,
39,Nam Định,,36,,,,False,
40,Nghệ An,,40,,,,False,
41,Ninh Bình,,37,,,,False,
42,Ninh Thuận,,58,,,,False,
43,Phú Thọ,,25,,,,False,
44,Phú Yên,,54,,,,False,
45,Quảng Bình,,44,,,,False,
46,Quảng Nam,,49,,,,False,
47,Quảng Ngãi,,51,,,,False,
48,Quảng Ninh,,22,,,,False,
49,Quảng Trị,,45,,,,False,
50,Sóc Trăng,,94,,,,False,
51,Sơn La,,14,,,,False,
52,Tây Ninh,,72,,,,False,
53,Thái Bình,,34,,,,False,
54,Thái Nguyên,,19,,,,False,
55,Thanh Hóa,,38,,,,False,
56,Thừa Thiên Huế,,46,,,,False,
57,Tiền Giang,,82,,,,False,
58,TP. Hồ Chí Minh,Hồ Chí Minh,79,,,2025-07-01,True,
59,Trà Vinh,,84,,,,False,
60,Tuyên Quang,,08,,,,False,
61,Vĩnh Long,,86,,,,False,
62,Vĩnh Phúc,,26,,,,False,
63,Yên Bái,,15,,,,False,
