"id","code_bnv","code_tms","name_current","effective_date","has_district_level","source"
"1","01","101","Thành phố Hà Nội","2025-07-01","False","QD19-2025-BNV"
"2","02","223","Tỉnh Bắc Ninh","2025-07-01","False","QD19-2025-BNV"
"3","03","225","Tỉnh Quảng Ninh","2025-07-01","False","QD19-2025-BNV"
"4","04","103","Tp Hải Phòng","2025-07-01","False","QD19-2025-BNV"
"5","05","109","Tỉnh Hưng Yên","2025-07-01","False","QD19-2025-BNV"
"6","06","117","Tỉnh Ninh Bình","2025-07-01","False","QD19-2025-BNV"
"7","07","203","Tỉnh Cao Bằng","2025-07-01","False","QD19-2025-BNV"
"8","08","211","Tỉnh Tuyên Quang","2025-07-01","False","QD19-2025-BNV"
"9","09","205","Tỉnh Lào Cai","2025-07-01","False","QD19-2025-BNV"
"10","10","215","Tỉnh Thái Nguyên","2025-07-01","False","QD19-2025-BNV"
"11","11","209","Tỉnh Lạng Sơn","2025-07-01","False","QD19-2025-BNV"
"12","12","217","Tỉnh Phú Thọ","2025-07-01","False","QD19-2025-BNV"
"13","13","301","Tỉnh Điện Biên","2025-07-01","False","QD19-2025-BNV"
"14","14","302","Tỉnh Lai Châu","2025-07-01","False","QD19-2025-BNV"
"15","15","303","Tỉnh Sơn La","2025-07-01","False","QD19-2025-BNV"
"16","16","401","Tỉnh Thanh Hóa","2025-07-01","False","QD19-2025-BNV"
"17","17","403","Tỉnh Nghệ An","2025-07-01","False","QD19-2025-BNV"
"18","18","405","Tỉnh Hà Tĩnh","2025-07-01","False","QD19-2025-BNV"
"19","19","409","Tỉnh Quảng Trị","2025-07-01","False","QD19-2025-BNV"
"20","20","411","Thành phố Huế","2025-07-01","False","QD19-2025-BNV"
"21","21","501","Tp Đà Nẵng","2025-07-01","False","QD19-2025-BNV"
"22","22","505","Tỉnh Quảng Ngãi","2025-07-01","False","QD19-2025-BNV"
"23","23","511","Tỉnh Khánh Hòa","2025-07-01","False","QD19-2025-BNV"
"24","24","603","Tỉnh Gia Lai","2025-07-01","False","QD19-2025-BNV"
"25","25","605","Tỉnh Đắk Lắk","2025-07-01","False","QD19-2025-BNV"
"26","26","703","Tỉnh Lâm Đồng","2025-07-01","False","QD19-2025-BNV"
"27","27","709","Tỉnh Tây Ninh","2025-07-01","False","QD19-2025-BNV"
"28","28","713","Tỉnh Đồng Nai","2025-07-01","False","QD19-2025-BNV"
"29","29","701","Tp Hồ Chí Minh","2025-07-01","False","QD19-2025-BNV"
"30","30","809","Tỉnh Vĩnh Long","2025-07-01","False","QD19-2025-BNV"
"31","31","803","Tỉnh Đồng Tháp","2025-07-01","False","QD19-2025-BNV"
"32","32","805","Tỉnh An Giang","2025-07-01","False","QD19-2025-BNV"
"33","33","815","Tp Cần Thơ","2025-07-01","False","QD19-2025-BNV"
"34","34","823","Tỉnh Cà Mau","2025-07-01","False","QD19-2025-BNV"
